gw,team,opp,off,on,min,date
Quarterfinals,FC Barcelona,Atlético Madrid,J. Cancelo,A. Balde,86,2026-04-08
Quarterfinals,Atlético Madrid,FC Barcelona,G. Simeone,T. Almada,80,2026-04-08
Quarterfinals,Atlético Madrid,FC Barcelona,A. Griezmann,N. González,80,2026-04-08
Quarterfinals,FC Barcelona,Atlético Madrid,M. Rashford,F. Torres,73,2026-04-08
Quarterfinals,FC Barcelona,Atlético Madrid,J. Koundé,R. Araújo,73,2026-04-08
Quarterfinals,Atlético Madrid,FC Barcelona,Koke,A. Baena,60,2026-04-08
Quarterfinals,Atlético Madrid,FC Barcelona,A. Lookman,A. Sørloth,60,2026-04-08
Quarterfinals,FC Barcelona,Atlético Madrid,Pedri,Gavi,46,2026-04-08
Quarterfinals,FC Barcelona,Atlético Madrid,R. Lewandowski,F. López,46,2026-04-08
Quarterfinals,Atlético Madrid,FC Barcelona,D. Hancko,Pubill,31,2026-04-08
